subject_id,src,x,y,planet
14614,img/planet1.png,55,41,1
14614,img/planet2.png,879,73,2
14614,img/planet3.png,24,112,3
14614,img/planet4.png,68,339,4
14614,img/planet5.png,870,420,5
14614,img/planet6.png,119,410,6
14614,img/planet7.png,138,332,7
14614,img/planet8.png,143,32,8
14614,img/planet9.png,208,423,9
14614,img/planet10.png,744,18,10
14614,img/planet11.png,35,410,11
14614,img/planet12.png,825,11,12
14614,img/planet13.png,197,343,13
14614,img/planet14.png,847,341,14
14614,img/planet15.png,790,417,15
