subject_id,src,x,y,planet,x_init,y_init
15139,img/planet1.png,88,216,1,88,216
15139,img/planet2.png,882,607,2,254,460
15139,img/planet3.png,1043,285,3,1043,285
15139,img/planet4.png,522,207,4,522,207
15139,img/planet5.png,1153,587,5,1170,191
15139,img/planet6.png,547,344,6,326,518
15139,img/planet7.png,754,467,7,282,303
15139,img/planet8.png,369,66,8,328,593
15139,img/planet9.png,950,36,9,596,246
15139,img/planet10.png,945,331,10,52,644
15139,img/planet11.png,217,87,11,347,294
15139,img/planet12.png,1023,643,12,1023,643
15139,img/planet13.png,52,378,13,26,456
15139,img/planet14.png,835,364,14,408,584
15139,img/planet15.png,810,73,15,752,172
